Syscfg Control Register Start Addr: 0x4003_0000,,,,,,
Addr,IP name,Addr,IP name,,,
0x000,System,0x300,Test,,,
0x100,Clock,0x400,MBIST,,,
0x200,IO,0xF00,Chip ID,,,
offset,Name,Bit,Bit Name,Description,Default,Note:
0x000,SYS_REG,bit[31],REMAP MODE(only MIRC clock) ,Remap to Flash Main (Default) ,1'b1,
,,bit[30],REMAP MODE(only MIRC clock) ,1'b1: Remap to Flash Boot,1'b0(RO),
,,bit[29],REMAP MODE(only MIRC clock) ,Remap to SYSRAM,1'b0,
,,bit[28],REMAP MODE(only MIRC clock) ,Remap to IDRAM,1'b0,
,,bit[27],PMUCTRL,"0: Disable PMU
1: Enable PMU ",1'b0,"For system level power retenation
目前硬體未設計 所以Default disable."
,,bit[26],RESETOP,"0: Does not automatically generate reset when the processor is in the LOCKUP state.
1: Automatically generates system reset if the processor is in the LOCKUP state.",1'b0,原廠規格就有的
,,bit[25],POWER SWITCH ENABLE,"0: Power Switch Disable
1: Power Switch Enable",1'b0,多一道鎖
,,bit[24],Clear ECC register key,1: Clear Register(設為1之後要再設為0),1'b0,
,,bit[23],DEEP SLEEP CLOCK SELECTION,"0: 32K& 512KHz active  ;
1: no clock",1'b0,
,,bit[22],SOFTWARE RESETn,"Active ""Low"". 
Set by firmware, clear by hardware, 
Software has to setting bit 0x40030008 bit[31] before set this bit. ",1'b1,
,,bit[21],HIRC_TESTV,"0: TESTV Disable
1: TESTV Enable",1'b0,
,,bit[20],USB_Reset SEL,"Select USBPHY&UDC Reset Source
0: Ori Reset(all reset)
1: POR",1'b0,
,,bit[19],I2C1_Reset SEL,"Select I2C1 Reset Source
0: Ori Reset(all reset)
1: POR",1'b0,
,,bit[18],RTC_SEL,"(Mux15)
0:1HZ
1:32K",1'b0,
,,bit[17],EncryptCLK_DIV,"(Div8)
0:1/1
1:1/2 ",1'b0,
,,bit[16],ACC1CLK_DIV,"(Div6)
0:1/1
1:1/2 ",1'b0,
,,bit[15],QSPICLK_DIV,"(Div7)
0:1/1
1:1/2 ",1'b0,
,,bit[14],Timer4_SEL,"(Mux14)
0: 32K
1: EXT TC4",1'b1,
,,bit[13],Timer3_SEL,"(Mux13)
0: 32K
1: EXT TC3",1'b1,
,,bit[12],Timer2_SEL,"(Mux12)
0: 32K
1: EXT TC2",1'b1,
,,bit[11],Timer1_SEL,"(Mux11)
0: 32K
1: EXT TC1",1'b1,
,,bit[10],EncryptCLK_SEL,"(Mux10)
0: HCLK
1: PLL",1'b0,
,,bit[9],GHMCLK_SEL,"(Mux9)
0: HIRC
1: PLL",1'b0,
,,bit[8],QSPICLK_SEL,"(Mux8)
0: HCLK
1: PLL",1'b0,
,,bit[7:5],HCLK_DIV,"(Div2)
000:1/1
001:1/2 
010:1/4
011:1/8 
100:1/16
101:1/32
110:1/64
111:1/128",3'b000,
,,bit[4],USBCLK_SEL,"(Mux4)
0: Via Fast Lock PLLB
1: EXT Clock_B",1'b0,
,,bit[3:2],HCLK_SEL,"(Mux2)
00: HIRC 
01: HIRC+PLL 
10: EXT Clock_A
11: 32KHz",2'b00,
,,bit[1],XTAL_LJIRC_SEL ,"(MUX3)
0: Xtal 
1: Lowjitter IRC ",1'b1,
,,bit[0],XTAL_HIRC_SEL  ,"(MUX1)
0: HIRC/4
1: Xtal/n  ( 12MHz/2 ; 24MHz/4)",1'b0,
0x004,"SYS_STATUS
(Always ON)",bit[31:10],RESERVED,,22'h0,
,,bit[9],LVD_Flash_RST_STATUS,LVD Flash Reset Status (H.W. set ; F.W. set high to clear ),1'b0,
,,bit[8],BOR_RST_STATUS,BOR Reset Status (H.W. set ; F.W. set high to clear ),1'b0,
,,bit[7:5],WAIT COUNT Status,"Flash Wait Count Flag
See clock 組合",3'b000(RO),
,,bit[4],LOCKUP_RST_STATUS,LOCKUP Reset Status (H.W. set ; F.W. set high to clear ),1'b0,
,,bit[3],SYSREQ_RST_STATUS,SYSRESETREQ Reset Status (H.W. set ; F.W. set high to clear ),1'b0,
,,bit[2],SW_RST_STATUS,SW Reset Status (H.W. set ; F.W. set high to clear ),1'b0,
,,bit[1],WDT_RST_STATUS,WDT Reset Status (H.W. set ; F.W. set high to clear ),1'b0,
,,bit[0],CHIPPT_LEVEL_RST_STATUS,CHIPPT Level 1=>0  Reset Status (H.W. set ; F.W. set high to clear ),1'b0,
0x008,MISC_REG,bit[31],SOFTWARE RESET SWITCH ,"Software Reset Switch
0: Disable
1: Enable",1'b0,
,,bit[30],"Flash control enable
(Erase/prog/LVE/mass-erase)","0: CPU readyout from arbiter
1: CPU readyout from Flash",1'b0,請切換到低頻再設定
,,bit[29],Remap switch,"0: Readyout from Flash control
1: Readyout always high",1'b0,"切換APB3 Flash Readyout source
使用在Remap在IDRAM時IAP應用"
,,bit[28],Gating_CPU_Clock,"0: gating disable(Flash erase/prog)
1: gating enable(Flash erase/prog)",1'b0,"Erase/Prog gating clock
在Smart card 省power peak"
,,bit[27],remap_idram_sel,"0: Main
1: Boot",1'b0,
,,bit[26],remap_sysram_sel,"0: Main
1: Boot",1'b0,
,,bit[25:8],RESERVED,,18'h0,
,,bit[7:4],WAIT COUNT Password,Password:1010,4'h0,
,,bit[3],WAIT COUNT Set en,,1'b0,
,,bit[2:0],WAIT COUNT Set,"Flash Wait Count Set
000~111: 0~7 cycle count",3'b000(RW),
0x00C,DMA HS Select,bit[31:25],RESERVED,,7'h0,
,,bit[24],DMA_CS flag,"Low voltage detect status flag. set by HW,clear by SW
0: Flag signal is Not Detected
1: Flag signal is Detected ",1'b0(RW),
,,bit[23],DMA_CS int enable,"0:Disable
1:Enable",1'b0,
,,bit[22],DMA_CS Enable,"0:Disable
1:Enable",1'b0,
,,bit[21:19],Select DMA_CS Delay,"Select DMA_CS Delay time:(SIRC_32K) maybe 1T offset
000: 0T
001: 1T
010: 2T
011: 3T
100: 4T
101: 5T
110: 6T
111: 7T",3'b000,
,,bit[18:16],Select Tfr int,"Select DMA_CS Source Select:
000: Ch0
001: Ch1
010: Ch2
011: Ch3
1xx: Ch4",3'b000,
,,bit[15],Handshaking ch15,"0: ISO7816-2_RX
1: USART_RX",1'b0,
,,bit[14],Handshaking ch14,"0: ISO7816-2_TX
1: USART_TX",1'b0,
,,bit[13],Handshaking ch13,"0: ISO7816-1_RX
1: USART_RX",1'b0,
,,bit[12],Handshaking ch12,"0: ISO7816-1_TX
1: USART_TX",1'b0,
,,bit[11],Handshaking ch11,"0: USB_RX
1: QSPI_RX",1'b0,
,,bit[10],Handshaking CH10,"0: USB_TX
1: QSPI_TX",1'b0,
,,bit[9],Handshaking CH9,"0: Elan_SPI_RX
1: UART1_RX",1'b0,
,,bit[8],Handshaking CH8,"0: Elan_SPI_TX
1: UART1_TX",1'b0,
,,bit[7],Handshaking CH7,"0: ARM_SSP_RX
1: UART2_RX",1'b0,
